dir,common,corpus,blog,com_count
112,"['lama', 'alabama', 'sause', 'wuppertal', 'einem', 'qual', 'stehn', 'mach', 'ne']",['lass'],['doch'],9
114,"['hühnersuppe', 'ihrem', 'turmzimmer', 'strophe', 'schwarzkehlchen', 'kehligen', 'harfe']","['zartgliedriges', 'prinzessinnenhafte', 'krächzigen']","['und', 'saß', 'einmal']",7
115,"['sie', 'dich']","['verschmutzungsrechten', 'verschmutzungsrechte', 'verschmutzungsrecht', 'sezte', 'piroutten', 'hochglanzkatalog', 'emissionsrechtehandel', 'druckpunkt']","['total', 'ihrem', 'liebe', 'sagte', 'sich', 'er', 'ich', 'äußerst']",2
117,"['karneval', 'traf', 'ihn', 'wal', 'schiff', 'kollision', 'februar', 'ich', 'wars']",['archiv'],['als'],9
118,"['karneval', 'traf', 'ihn', 'wal', 'schiff', 'kollision', 'ich', 'als', 'wars', 'hatten']",[],[],10
119,"['feuer', 'und', 'eismann', 'dämmerung', 'weiterlesen']","['atom', 'elefantenhaar', 'elefantenfriedhof', 'verwesungsgeruch', 'härnchen']","['art', 'irgendwie', 'mit', 'sie', 'war']",5
120,"['vergaßliebster', 'tagals', 'spaßliebsteran', 'pikanterie', 'nochliebsterder']","['gelant', 'arbeitsmorgens', 'durchwirkten', 'grandezza', 'hereinbrechen']","['wahrer', 'tristesse', 'körperlicher', 'hohle', 'hingerissen']",5
121,"['seelensalbe', 'gib', 'volle', 'portion', 'halbe', 'doppelte', 'ausruf', 'mir', 'die']",['mach'],['nein'],9
122,"['ich', 'abends', 'kerkeling', 'id', 'hape', 'php', 'häppchen']","['blogg', 'günni', 'tell']","['uns', 'eintrag', 'gewonnen']",7
123,"['ich', 'wäre', 'gelegentlich', 'frage', 'wo', 'mein', 'mal', 'mich', 'dann', 'nicht']",[],[],10
124,"['straßenrand', 'lagen', 'pumps', 'würste', 'wirkten', 'gerammt', 'verbrannt', 'pfanne']","['würstchen', 'zack']","['wurst', 'quer']",8
125,"['nah', 'gestalten', 'so', 'viele', 'verwalten', 'schicksal', 'kaum', 'raum', 'dein']",['sie'],['sieht'],9
126,"['dich', 'wehn', 'stürme', 'schnappt', 'kneift', 'gevatter', 'gatter', 'heulend']","['zausen', 'brausen']","['sondern', 'gemein']",8
127,"['gedicht', 'plage', 'er', 'schein', 'heut']","['ersoff', 'jambus', 'printen', 'bonbonpapier', 'zwein']","['ist', 'einen', 'vegas', 'dezember', 'and']",5
128,"['pups', 'euch', 'verstreicht', 'verkrochen', 'tapfere', 'scherts', 'jahresende']","['ihrs', 'gedichtchen', 'filigrane']","['jahreswechsel', 'gerochen', 'geradezu']",7
129,"['arschloch', 'wald', 'kleines', 'steht', 'verbleiben', 'friern', 'kalt', 'füsse', 'stirn']",['leiden'],['beginnt'],9
130,"['dem', 'rüber', 'entspanne', 'leben', 'eignen']","['obs', 'andren', 'frag', 'gehts', 'schau']","['neugierig', 'balkon', 'eben', 'direkt', 'denke']",5
131,"['knirschten', 'kies', 'stunden', 'hielten', 'erklang', 'drehten', 'runden', 'stille', 'die']",['endlich'],['wie'],9
132,"['war', 'wohlgemut', 'palmenstrand', 'klinsmann', 'jürgens', 'aufgewacht', 'aufgelacht', 'verrinnt', 'fröhlich']",['heut'],['jürgen'],9
133,"['die', 'hatte', 'weihnachtsmarkt', 'glühweinlache', 'sie']","['weihnachtsengels', 'reinseidenen', 'ponchohafte', 'ponchoartiges', 'nerzbesatz']","['lassen', 'und', 'den', 'einer', 'dieser']",5
134,"['lange', 'weihnachtet', 'stube', 'rezitiert', 'peinelig', 'marzipangedichtchen', 'heimelig', 'glänzenden', 'bazar', 'andrer']",[],[],10
135,"['sänge', 'ach', 'wäre', 'gelänge', 'bang', 'klang', 'selber', 'mir', 'und', 'ich']",[],[],10
136,"['weiterlesen', 'hieße', 'er', 'sagte', 'sie']","['nervenwiedrahtseilehabenden', 'einbauküchenteilen', 'abgebauten', 'zigarettengeschwängert', 'sommerwegen']","['und', 'an', 'andere', 'regen', 'es']",5
137,"['leise', 'vereinen', 'säuselt', 'lebensraum', 'kräuselt', 'juckt', 'säge']","['baustaub', 'herne', 'gefieder']","['zuckt', 'mindestens', 'blätter']",7
138,"['trüffel', 'schwenkt', 'schwanhals', 'rhytmisch', 'klacken', 'erhalts', 'adventsgesteck', 'seidenes']","['nougat', 'eilt']","['versuchung', 'tuch']",8
139,"['humpelte', 'zurückgeblieben', 'weihnachtslied', 'volumenwellen', 'vielsagenden', 'komponierte']","['haileder', 'fußmatte', 'friseursalons', 'harfe']","['erholt', 'hatte', 'tauschen', 'schloß']",6
140,"['volumenwelle', 'sie', 'zack']","['rhytmisches', 'leichtfüssig', 'herbstfön', 'haarwaschanlagen', 'pfennigabsatz', 'haileder', 'sprinkleranlage']","['richtung', 'nahm', 'und', 'wankte', 'plötzliche', 'klebte', 'hastete']",3
141,"['pflaster', 'schnürsenkeln', 'kirchenbesuch', 'gemäldegleich', 'eilend', 'eckkneipe', 'vereinigt']","['gottesverständnis', 'sonntägliche', 'herrengedeck']","['abrupt', 'verschob', 'spuckte']",7
142,"['sie', 'österlichem', 'zurechtgemachten', 'stromschlaggeschwind', 'selbstgefällig']","['restedeko', 'gemeinschaftsteeküche', 'amazonenhaft', 'abgespreiztem', 'hollunder']","['langsam', 'während', 'in', 'zuckte', 'weihnachtlichen']",5
143,"['sie', 'weiterlesen', 'kotze', 'floss', 'wo', 'honig']","['vormittagskurs', 'masseure', 'maniküreassistentinnen', 'gesprächsmeister']","['seine', 'daß', 'alte', 'boden']",6
144,"['schöpfer', 'weltsichten', 'gewidmet', 'geirrt', 'entschuldigte', 'determinist', 'dentisten', 'dentist']","['begriffsverwechselungen', 'marcus']","['haustür', 'entstehen']",8
145,"['hör', 'vorbei', 'geht', 'sprich', 'breite', 'liebes', 'flügel', 'gebet', 'fisch']",['drum'],['gut'],9
146,"['clown', 'warum', 'siehst', 'du', 'lachst', 'fühl', 'den', 'späße']","['lacht', 'stein']","['plötzlich', 'gesicht']",8
147,"['wir', 'zarte', 'wundersame', 'sammelten', 'modernden', 'hoffnungen', 'gesprochene', 'treibgut']","['planken', 'verlorene']","['weiche', 'vergessene']",8
148,"['land', 'stein', 'einst', 'spülte', 'kanten', 'welle', 'weich', 'rund', 'fremden']",['meer'],['hinein'],9
149,"['mau', 'maulbeerstrauch', 'unterm', 'sass', 'einst', 'mischt', 'krieger']","['blumenkränze', 'flocht', 'kanns']","['ich', 'plätzchen', 'karten']",7
150,"['den', 'der', 'frau', 'und', 'kalinas']","['kalina', 'lesesalon', 'rautenschaum', 'gedicht', 'anarchie']","['von', 'die', 'aus', 'schien', 'las']",5
151,"['gefangen', 'abseitsfalle', 'schwalbe', 'schmoren', 'lattenschuss', 'kalle']","['dankts', 'fallrückzieher', 'gewieher', 'bereut']","['willi', 'tim', 'pflicht', 'letzterer']",6
152,"['silben', 'trennen', 'wünschen', 'schaun', 'romantisch', 'heike', 'heiko', 'haiku']","['gelingen', 'wär']","['einander', 'traurig']",8
153,"['liebe', 'weiss', 'eure', 'kalina', 'talkshowsesseln', 'nasenbären', 'harret', 'eifrige']","['behaltet', 'härnchen']","['welt', 'kunst']",8
